date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:01	59461/59461	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:58%20GMT	https://templates.hibotheme.com/aixio/default/about-us.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/about-us.html	(from )
13:59:02	633/633	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Nov%202025%2012:59:01%20GMT	https://templates.hibotheme.com/robots.txt		(from )
13:59:02	231967/231967	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3cf-38a1f%22	https://templates.hibotheme.com/aixio/default/assets/css/bootstrap.min.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/bootstrap.min.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:02	18444/18444	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3cf-480c%22	https://templates.hibotheme.com/aixio/default/assets/css/swiper-bundle.min.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/swiper-bundle.min.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:03	3921/3921	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3d5-f51%22	https://templates.hibotheme.com/aixio/default/assets/css/scrollcue.min.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/scrollcue.min.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:03	149286/149286	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3d0-24726%22	https://templates.hibotheme.com/aixio/default/assets/css/remixicon.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/remixicon.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:03	20439/20439	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3d4-4fd7%22	https://templates.hibotheme.com/aixio/default/assets/css/header.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/header.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:03	137066/137066	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3d3-2176a%22	https://templates.hibotheme.com/aixio/default/assets/css/style.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/style.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:03	3030/3030	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3d5-bd6%22	https://templates.hibotheme.com/aixio/default/assets/css/footer.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/footer.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:04	39824/39824	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3d3-9b90%22	https://templates.hibotheme.com/aixio/default/assets/css/responsive.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/responsive.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:04	57222/57222	---MCZ	200	added ('OK')	text/css	etag:W/%22688ed3d1-df86%22	https://templates.hibotheme.com/aixio/default/assets/css/dark-theme.css	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/css/dark-theme.css	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:04	532/532	---M--	200	added ('OK')	image/png	etag:%22688ed3e7-214%22	https://templates.hibotheme.com/aixio/default/assets/img/favicon.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/favicon.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:04	89074/89074	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:49%20GMT	https://templates.hibotheme.com/aixio/default/index.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/index.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:05	1649/1649	---M--	200	added ('OK')	image/png	etag:%22688ed3e9-671%22	https://templates.hibotheme.com/aixio/default/assets/img/logo.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/logo.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:05	1622/1622	---M--	200	added ('OK')	image/png	etag:%22688ed3e5-656%22	https://templates.hibotheme.com/aixio/default/assets/img/logo-white.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/logo-white.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:05	83705/83705	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:48%20GMT	https://templates.hibotheme.com/aixio/default/index-2.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/index-2.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:05	84618/84618	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:52%20GMT	https://templates.hibotheme.com/aixio/default/index-3.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/index-3.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:06	33386/33386	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:58%20GMT	https://templates.hibotheme.com/aixio/default/services.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/services.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:06	38051/38051	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:55%20GMT	https://templates.hibotheme.com/aixio/default/service-details.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/service-details.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:06	36732/36732	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:56%20GMT	https://templates.hibotheme.com/aixio/default/careers.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/careers.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:06	32244/32244	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:53%20GMT	https://templates.hibotheme.com/aixio/default/career-single.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/career-single.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:07	32433/32433	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:48%20GMT	https://templates.hibotheme.com/aixio/default/team.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/team.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:07	35115/35115	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:51%20GMT	https://templates.hibotheme.com/aixio/default/testimonials.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/testimonials.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:07	39225/39225	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:58%20GMT	https://templates.hibotheme.com/aixio/default/pricing-plan.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/pricing-plan.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:07	44915/44915	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:13:00%20GMT	https://templates.hibotheme.com/aixio/default/faq.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/faq.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:08	27991/27991	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:59%20GMT	https://templates.hibotheme.com/aixio/default/terms-conditions.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/terms-conditions.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:08	27924/27924	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:51%20GMT	https://templates.hibotheme.com/aixio/default/privacy-policy.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/privacy-policy.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:08	23268/23268	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:53%20GMT	https://templates.hibotheme.com/aixio/default/error-404.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/error-404.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:08	31732/31732	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:55%20GMT	https://templates.hibotheme.com/aixio/default/projects.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/projects.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:08	33482/33482	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:13:01%20GMT	https://templates.hibotheme.com/aixio/default/project-single.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/project-single.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:09	50616/50616	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:13:00%20GMT	https://templates.hibotheme.com/aixio/default/shop-left-sidebar.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/shop-left-sidebar.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:09	50577/50577	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:56%20GMT	https://templates.hibotheme.com/aixio/default/shop-right-sidebar.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/shop-right-sidebar.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:09	39753/39753	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:57%20GMT	https://templates.hibotheme.com/aixio/default/shop-grid.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/shop-grid.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:09	49009/49009	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:51%20GMT	https://templates.hibotheme.com/aixio/default/product-single.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/product-single.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:10	35022/35022	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:59%20GMT	https://templates.hibotheme.com/aixio/default/cart.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/cart.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:10	31111/31111	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:13:00%20GMT	https://templates.hibotheme.com/aixio/default/wishlist.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/wishlist.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:10	37827/37827	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:57%20GMT	https://templates.hibotheme.com/aixio/default/checkout.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/checkout.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:10	25769/25769	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:55%20GMT	https://templates.hibotheme.com/aixio/default/login.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/login.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:10	26297/26297	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:54%20GMT	https://templates.hibotheme.com/aixio/default/register.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/register.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:11	41194/41194	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:50%20GMT	https://templates.hibotheme.com/aixio/default/blog-left-sidebar.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/blog-left-sidebar.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:11	41154/41154	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:13:00%20GMT	https://templates.hibotheme.com/aixio/default/blog-right-sidebar.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/blog-right-sidebar.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:11	33956/33956	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:47%20GMT	https://templates.hibotheme.com/aixio/default/blog-grid.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/blog-grid.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:12	44971/44971	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:56%20GMT	https://templates.hibotheme.com/aixio/default/blog-single-left-sidebar.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/blog-single-left-sidebar.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:12	44933/44933	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:58%20GMT	https://templates.hibotheme.com/aixio/default/blog-single-right-sidebar.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/blog-single-right-sidebar.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:12	38781/38781	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:13:01%20GMT	https://templates.hibotheme.com/aixio/default/blog-single-no-sidebar.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/blog-single-no-sidebar.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:12	41168/41168	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:53%20GMT	https://templates.hibotheme.com/aixio/default/posts-by-author.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/posts-by-author.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:12	41164/41164	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:51%20GMT	https://templates.hibotheme.com/aixio/default/posts-by-date.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/posts-by-date.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:13	41167/41167	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:54%20GMT	https://templates.hibotheme.com/aixio/default/posts-by-category.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/posts-by-category.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:13	41162/41162	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:53%20GMT	https://templates.hibotheme.com/aixio/default/posts-by-tag.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/posts-by-tag.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:13	31223/31223	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Aug%202025%2003:12:52%20GMT	https://templates.hibotheme.com/aixio/default/contact.html	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/contact.html	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:13	586/586	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22688ed45e-24a%22	https://templates.hibotheme.com/aixio/default/assets/img/icons/right-arrow-white.svg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/icons/right-arrow-white.svg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:14	814/814	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22688ed45c-32e%22	https://templates.hibotheme.com/aixio/default/assets/img/icons/search.svg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/icons/search.svg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:14	96674/96674	---M--	200	added ('OK')	image/png	etag:%22688ed43f-179a2%22	https://templates.hibotheme.com/aixio/default/assets/img/about/about-img-1.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/about/about-img-1.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:14	44628/44628	---M--	200	added ('OK')	image/png	etag:%22688ed43c-ae54%22	https://templates.hibotheme.com/aixio/default/assets/img/about/about-shape-3.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/about/about-shape-3.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:14	822/822	---M--	200	added ('OK')	image/png	etag:%22688ed43f-336%22	https://templates.hibotheme.com/aixio/default/assets/img/about/thumbnail-2.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/about/thumbnail-2.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:14	851/851	---M--	200	added ('OK')	image/png	etag:%22688ed440-353%22	https://templates.hibotheme.com/aixio/default/assets/img/about/thumbnail-3.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/about/thumbnail-3.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:15	2384/2384	---M--	200	added ('OK')	image/jpeg	etag:%22688ed43e-950%22	https://templates.hibotheme.com/aixio/default/assets/img/about/thumbnail-2.jpg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/about/thumbnail-2.jpg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:15	125537/125537	---M--	200	added ('OK')	image/png	etag:%22688ed43c-1ea61%22	https://templates.hibotheme.com/aixio/default/assets/img/about/mission-thumb.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/about/mission-thumb.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:15	7320/7320	---M--	200	added ('OK')	image/png	etag:%22688ed3ee-1c98%22	https://templates.hibotheme.com/aixio/default/assets/img/box-shape-2.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/box-shape-2.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:15	9031/9031	---M--	200	added ('OK')	image/png	etag:%22688ed3ef-2347%22	https://templates.hibotheme.com/aixio/default/assets/img/box-shape-3.png	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/box-shape-3.png	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:16	750/750	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22688ed464-2ee%22	https://templates.hibotheme.com/aixio/default/assets/img/icons/shield-pink.svg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/icons/shield-pink.svg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:16	3202/3202	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22688ed46c-c82%22	https://templates.hibotheme.com/aixio/default/assets/img/icons/compliance-pink.svg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/icons/compliance-pink.svg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:16	824/824	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22688ed46b-338%22	https://templates.hibotheme.com/aixio/default/assets/img/icons/folder-pink.svg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/icons/folder-pink.svg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:16	1072/1072	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22688ed46c-430%22	https://templates.hibotheme.com/aixio/default/assets/img/icons/encrypted.svg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/icons/encrypted.svg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
13:59:17	2315/2315	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22688ed463-90b%22	https://templates.hibotheme.com/aixio/default/assets/img/icons/lock-pink.svg	C:/Users/user/Desktop/ai/templates.hibotheme.com/aixio/default/assets/img/icons/lock-pink.svg	(from https://templates.hibotheme.com/aixio/default/about-us.html)
